Date;Open;High;Low;Close;Adj Close;Volume
24/01/2018;4.090.000.000;4.090.000.000;3.970.000.000;3.980.000.000;3.400.635.986;241779600
25/01/2018;3.980.000.000;4.020.000.000;3.920.000.000;3.970.000.000;3.392.091.553;232552500
26/01/2018;3.990.000.000;4.160.000.000;3.990.000.000;4.150.000.000;3.545.889.160;246067800
29/01/2018;4.170.000.000;4.180.000.000;4.030.000.000;4.070.000.000;3.477.534.668;156356300
30/01/2018;4.020.000.000;4.040.000.000;3.960.000.000;3.970.000.000;3.392.091.553;140694300
31/01/2018;3.960.000.000;4.060.000.000;3.950.000.000;3.990.000.000;3.409.180.176;112276200
01/02/2018;4.030.000.000;4.070.000.000;3.980.000.000;3.980.000.000;3.400.635.986;102291000
02/02/2018;4.030.000.000;4.030.000.000;4.000.000.000;4.000.000.000;3.417.724.365;71707200
05/02/2018;3.950.000.000;4.030.000.000;3.920.000.000;4.010.000.000;3.426.268.555;70792500
06/02/2018;3.950.000.000;3.990.000.000;3.930.000.000;3.940.000.000;3.366.458.740;146207400
07/02/2018;3.990.000.000;4.020.000.000;3.950.000.000;3.980.000.000;3.400.635.986;120081100
08/02/2018;3.980.000.000;4.040.000.000;3.940.000.000;4.020.000.000;3.434.813.232;101865000
09/02/2018;3.970.000.000;4.000.000.000;3.940.000.000;3.950.000.000;3.375.002.686;78255000
12/02/2018;3.950.000.000;3.990.000.000;3.950.000.000;3.960.000.000;3.383.547.363;58535200
13/02/2018;3.990.000.000;4.060.000.000;3.980.000.000;4.040.000.000;3.451.901.855;79288000
14/02/2018;4.050.000.000;4.080.000.000;3.990.000.000;4.040.000.000;3.451.901.855;63313200
15/02/2018;4.050.000.000;4.060.000.000;4.000.000.000;4.010.000.000;3.426.268.555;32896000
16/02/2018;4.010.000.000;4.010.000.000;4.010.000.000;4.010.000.000;3.426.268.555;0
19/02/2018;4.050.000.000;4.080.000.000;4.040.000.000;4.050.000.000;3.460.446.045;89429500
20/02/2018;4.080.000.000;4.080.000.000;4.040.000.000;4.070.000.000;3.477.534.668;53466600
21/02/2018;4.040.000.000;4.080.000.000;4.020.000.000;4.070.000.000;3.477.534.668;74130200
22/02/2018;4.070.000.000;4.070.000.000;4.010.000.000;4.010.000.000;3.426.268.555;91272600
23/02/2018;4.030.000.000;4.040.000.000;4.010.000.000;4.030.000.000;3.443.357.178;59706400
26/02/2018;4.050.000.000;4.050.000.000;4.010.000.000;4.030.000.000;3.443.357.178;56293900
27/02/2018;4.030.000.000;4.030.000.000;3.960.000.000;4.020.000.000;3.434.813.232;81554100
28/02/2018;3.970.000.000;4.050.000.000;3.970.000.000;4.000.000.000;3.417.724.365;94528200
01/03/2018;4.050.000.000;4.090.000.000;4.020.000.000;4.060.000.000;3.468.990.479;84215600
02/03/2018;4.060.000.000;4.070.000.000;4.030.000.000;4.070.000.000;3.477.534.668;61410200
05/03/2018;4.050.000.000;4.060.000.000;4.000.000.000;4.020.000.000;3.434.813.232;56394900
06/03/2018;4.050.000.000;4.060.000.000;4.020.000.000;4.020.000.000;3.434.813.232;59010500
07/03/2018;4.000.000.000;4.040.000.000;3.980.000.000;4.000.000.000;3.417.724.365;100646000
08/03/2018;4.050.000.000;4.140.000.000;4.020.000.000;4.140.000.000;3.537.344.727;152547000
09/03/2018;4.150.000.000;4.160.000.000;4.090.000.000;4.150.000.000;3.545.889.160;97354700
12/03/2018;4.170.000.000;4.200.000.000;4.130.000.000;4.200.000.000;3.588.610.840;87344000
13/03/2018;4.160.000.000;4.180.000.000;4.080.000.000;4.090.000.000;3.494.623.535;96605900
14/03/2018;4.070.000.000;4.090.000.000;4.040.000.000;4.060.000.000;3.468.990.479;74296000
15/03/2018;4.030.000.000;4.040.000.000;3.930.000.000;3.930.000.000;3.357.914.063;133775500
16/03/2018;3.930.000.000;3.950.000.000;3.820.000.000;3.820.000.000;3.263.927.002;208216200
19/03/2018;3.860.000.000;3.900.000.000;3.810.000.000;3.820.000.000;3.263.927.002;111808000
20/03/2018;3.800.000.000;3.810.000.000;3.640.000.000;3.660.000.000;3.127.218.262;254154700
21/03/2018;3.660.000.000;3.720.000.000;3.630.000.000;3.710.000.000;3.169.939.453;152085900
22/03/2018;3.720.000.000;3.810.000.000;3.690.000.000;3.700.000.000;3.161.395.264;132850400
23/03/2018;3.520.000.000;3.690.000.000;3.520.000.000;3.660.000.000;3.127.218.262;104485500
26/03/2018;3.600.000.000;3.650.000.000;3.580.000.000;3.590.000.000;3.067.407.471;104993600
27/03/2018;3.630.000.000;3.650.000.000;3.540.000.000;3.560.000.000;3.041.774.658;106157400
28/03/2018;3.570.000.000;3.620.000.000;3.540.000.000;3.570.000.000;3.050.319.336;83907700
29/03/2018;3.580.000.000;3.600.000.000;3.530.000.000;3.600.000.000;3.075.951.904;106930200
30/03/2018;3.600.000.000;3.600.000.000;3.600.000.000;3.600.000.000;3.075.951.904;0
02/04/2018;3.640.000.000;3.680.000.000;3.600.000.000;3.670.000.000;3.135.761.963;63944000
03/04/2018;3.640.000.000;3.670.000.000;3.620.000.000;3.630.000.000;3.101.584.717;57234700
04/04/2018;3.630.000.000;3.660.000.000;3.570.000.000;3.600.000.000;3.075.951.904;80976000
05/04/2018;3.650.000.000;3.690.000.000;3.650.000.000;3.680.000.000;3.144.306.396;102973700
06/04/2018;3.680.000.000;3.690.000.000;3.650.000.000;3.650.000.000;3.118.673.584;62905500
09/04/2018;3.630.000.000;3.780.000.000;3.630.000.000;3.770.000.000;3.221.205.566;114947800
10/04/2018;3.740.000.000;3.880.000.000;3.730.000.000;3.860.000.000;3.298.104.248;138847700
11/04/2018;3.850.000.000;3.890.000.000;3.850.000.000;3.870.000.000;3.306.648.682;58454500
12/04/2018;3.830.000.000;3.860.000.000;3.740.000.000;3.750.000.000;3.204.116.699;76340800
13/04/2018;3.760.000.000;3.780.000.000;3.630.000.000;3.660.000.000;3.127.218.262;88313600
16/04/2018;3.660.000.000;3.660.000.000;3.660.000.000;3.660.000.000;3.127.218.262;0
17/04/2018;3.660.000.000;3.660.000.000;3.660.000.000;3.660.000.000;3.127.218.262;0
18/04/2018;3.720.000.000;3.770.000.000;3.710.000.000;3.770.000.000;3.221.205.566;65927000
19/04/2018;3.770.000.000;3.770.000.000;3.770.000.000;3.770.000.000;3.221.205.566;0
20/04/2018;3.770.000.000;3.770.000.000;3.770.000.000;3.770.000.000;3.221.205.566;0
23/04/2018;3.720.000.000;3.780.000.000;3.720.000.000;3.750.000.000;3.204.116.699;72362700
24/04/2018;3.810.000.000;3.830.000.000;3.770.000.000;3.830.000.000;3.272.471.191;81396500
25/04/2018;3.830.000.000;3.830.000.000;3.830.000.000;3.830.000.000;3.272.471.191;0
26/04/2018;3.830.000.000;3.830.000.000;3.830.000.000;3.830.000.000;3.272.471.191;0
27/04/2018;3.830.000.000;3.830.000.000;3.830.000.000;3.830.000.000;3.272.471.191;0
30/04/2018;3.750.000.000;3.870.000.000;3.750.000.000;3.830.000.000;3.272.471.191;95418200
01/05/2018;3.830.000.000;3.830.000.000;3.830.000.000;3.830.000.000;3.272.471.191;0
02/05/2018;3.810.000.000;3.880.000.000;3.780.000.000;3.870.000.000;3.306.648.682;118872100
03/05/2018;3.850.000.000;3.860.000.000;3.740.000.000;3.740.000.000;3.195.572.754;91601300
04/05/2018;3.700.000.000;3.750.000.000;3.650.000.000;3.730.000.000;3.187.028.076;80894300
07/05/2018;3.750.000.000;3.820.000.000;3.730.000.000;3.800.000.000;3.246.837.891;97351600
08/05/2018;3.650.000.000;3.670.000.000;3.570.000.000;3.620.000.000;3.120.577.148;107379900
09/05/2018;3.600.000.000;3.780.000.000;3.530.000.000;3.700.000.000;3.189.540.283;149687500
10/05/2018;3.700.000.000;3.700.000.000;3.700.000.000;3.700.000.000;3.189.540.283;0
11/05/2018;3.700.000.000;3.750.000.000;3.620.000.000;3.630.000.000;3.129.197.754;120995700
14/05/2018;3.560.000.000;3.610.000.000;3.500.000.000;3.540.000.000;3.051.614.258;161018200
15/05/2018;3.520.000.000;3.530.000.000;3.350.000.000;3.370.000.000;2.905.067.871;230994800
16/05/2018;3.280.000.000;3.530.000.000;3.250.000.000;3.480.000.000;2.999.892.090;205406800
17/05/2018;3.510.000.000;3.610.000.000;3.490.000.000;3.490.000.000;3.008.512.451;179026500
18/05/2018;3.520.000.000;3.530.000.000;3.400.000.000;3.490.000.000;3.008.512.451;75748600
21/05/2018;3.490.000.000;3.490.000.000;3.410.000.000;3.420.000.000;2.948.169.922;57210900
22/05/2018;3.420.000.000;3.500.000.000;3.420.000.000;3.470.000.000;2.991.271.729;78667200
23/05/2018;3.460.000.000;3.530.000.000;3.450.000.000;3.470.000.000;2.991.271.729;110630200
24/05/2018;3.480.000.000;3.590.000.000;3.480.000.000;3.560.000.000;3.068.854.980;84178300
25/05/2018;3.540.000.000;3.590.000.000;3.530.000.000;3.560.000.000;3.068.854.980;66374400
28/05/2018;3.580.000.000;3.700.000.000;3.560.000.000;3.690.000.000;3.180.920.166;90299200
29/05/2018;3.690.000.000;3.690.000.000;3.690.000.000;3.690.000.000;3.180.920.166;0
30/05/2018;3.600.000.000;3.730.000.000;3.590.000.000;3.600.000.000;3.103.336.426;148933500
31/05/2018;3.600.000.000;3.610.000.000;3.500.000.000;3.520.000.000;3.034.373.779;255204300
01/06/2018;3.520.000.000;3.520.000.000;3.520.000.000;3.520.000.000;3.034.373.779;0
04/06/2018;3.540.000.000;3.660.000.000;3.530.000.000;3.640.000.000;3.137.817.871;141754800
05/06/2018;3.680.000.000;3.860.000.000;3.660.000.000;3.830.000.000;3.301.605.225;181376800
06/06/2018;3.790.000.000;3.830.000.000;3.760.000.000;3.790.000.000;3.267.123.779;143554900
07/06/2018;3.800.000.000;3.830.000.000;3.770.000.000;3.770.000.000;3.249.883.057;122724300
08/06/2018;3.710.000.000;3.730.000.000;3.600.000.000;3.610.000.000;3.111.957.031;260396300
11/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
12/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
13/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
14/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
15/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
18/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
19/06/2018;3.610.000.000;3.610.000.000;3.610.000.000;3.610.000.000;3.111.957.031;0
