Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,3.950.000.000,4.030.000.000,3.920.000.000,4.010.000.000,3.426.268.555,70792500
2018-02-06,3.950.000.000,3.990.000.000,3.930.000.000,3.940.000.000,3.366.458.740,146207400
2018-02-07,3.990.000.000,4.020.000.000,3.950.000.000,3.980.000.000,3.400.635.986,120081100
2018-02-08,3.980.000.000,4.040.000.000,3.940.000.000,4.020.000.000,3.434.813.232,101865000
2018-02-09,3.970.000.000,4.000.000.000,3.940.000.000,3.950.000.000,3.375.002.686,78255000
2018-02-12,3.950.000.000,3.990.000.000,3.950.000.000,3.960.000.000,3.383.547.363,58535200
2018-02-13,3.990.000.000,4.060.000.000,3.980.000.000,4.040.000.000,3.451.901.855,79288000
2018-02-14,4.050.000.000,4.080.000.000,3.990.000.000,4.040.000.000,3.451.901.855,63313200
2018-02-15,4.050.000.000,4.060.000.000,4.000.000.000,4.010.000.000,3.426.268.555,32896000
2018-02-16,4.010.000.000,4.010.000.000,4.010.000.000,4.010.000.000,3.426.268.555,0
2018-02-19,4.050.000.000,4.080.000.000,4.040.000.000,4.050.000.000,3.460.446.045,89429500
2018-02-20,4.080.000.000,4.080.000.000,4.040.000.000,4.070.000.000,3.477.534.668,53466600
2018-02-21,4.040.000.000,4.080.000.000,4.020.000.000,4.070.000.000,3.477.534.668,74130200
2018-02-22,4.070.000.000,4.070.000.000,4.010.000.000,4.010.000.000,3.426.268.555,91272600
2018-02-23,4.030.000.000,4.040.000.000,4.010.000.000,4.030.000.000,3.443.357.178,59706400
2018-02-26,4.050.000.000,4.050.000.000,4.010.000.000,4.030.000.000,3.443.357.178,56293900
2018-02-27,4.030.000.000,4.030.000.000,3.960.000.000,4.020.000.000,3.434.813.232,81554100
2018-02-28,3.970.000.000,4.050.000.000,3.970.000.000,4.000.000.000,3.417.724.365,94528200
2018-03-01,4.050.000.000,4.090.000.000,4.020.000.000,4.060.000.000,3.468.990.479,84215600
2018-03-02,4.060.000.000,4.070.000.000,4.030.000.000,4.070.000.000,3.477.534.668,61410200
2018-03-05,4.050.000.000,4.060.000.000,4.000.000.000,4.020.000.000,3.434.813.232,56394900
2018-03-06,4.050.000.000,4.060.000.000,4.020.000.000,4.020.000.000,3.434.813.232,59010500
2018-03-07,4.000.000.000,4.040.000.000,3.980.000.000,4.000.000.000,3.417.724.365,100646000
2018-03-08,4.050.000.000,4.140.000.000,4.020.000.000,4.140.000.000,3.537.344.727,152547000
2018-03-09,4.150.000.000,4.160.000.000,4.090.000.000,4.150.000.000,3.545.889.160,97354700
2018-03-12,4.170.000.000,4.200.000.000,4.130.000.000,4.200.000.000,3.588.610.840,87344000
2018-03-13,4.160.000.000,4.180.000.000,4.080.000.000,4.090.000.000,3.494.623.535,96605900
2018-03-14,4.070.000.000,4.090.000.000,4.040.000.000,4.060.000.000,3.468.990.479,74296000
2018-03-15,4.030.000.000,4.040.000.000,3.930.000.000,3.930.000.000,3.357.914.063,133775500
2018-03-16,3.930.000.000,3.950.000.000,3.820.000.000,3.820.000.000,3.263.927.002,208216200
2018-03-19,3.860.000.000,3.900.000.000,3.810.000.000,3.820.000.000,3.263.927.002,111808000
2018-03-20,3.800.000.000,3.810.000.000,3.640.000.000,3.660.000.000,3.127.218.262,254154700
2018-03-21,3.660.000.000,3.720.000.000,3.630.000.000,3.710.000.000,3.169.939.453,152085900
2018-03-22,3.720.000.000,3.810.000.000,3.690.000.000,3.700.000.000,3.161.395.264,132850400
2018-03-23,3.520.000.000,3.690.000.000,3.520.000.000,3.660.000.000,3.127.218.262,104485500
2018-03-26,3.600.000.000,3.650.000.000,3.580.000.000,3.590.000.000,3.067.407.471,104993600
2018-03-27,3.630.000.000,3.650.000.000,3.540.000.000,3.560.000.000,3.041.774.658,106157400
2018-03-28,3.570.000.000,3.620.000.000,3.540.000.000,3.570.000.000,3.050.319.336,83907700
2018-03-29,3.580.000.000,3.600.000.000,3.530.000.000,3.600.000.000,3.075.951.904,106930200
2018-03-30,3.600.000.000,3.600.000.000,3.600.000.000,3.600.000.000,3.075.951.904,0
